9/26/17,07:18:20.650Z,33.6073333,-116.685,8.35,0.04,ci38010840,"6km N of Anza, CA",earthquake
9/26/17,07:12:57.140Z,33.3248333,-116.7631667,13.15,0.79,ci38010832,"9km N of Lake Henshaw, CA",earthquake
9/26/17,07:04:24.007Z,37.3909,-117.1027,7.7,0.1,nn00607080,"37km SSE of Goldfield, Nevada",earthquake
9/26/17,06:31:10.180Z,44.8206667,-110.6513333,6.96,2.87,uu60249632,"39km ENE of West Yellowstone, Montana",earthquake
9/26/17,06:30:01.446Z,59.2774,-152.1411,63.6,2.2,ak16907641,"52km SW of Homer, Alaska",earthquake
9/26/17,06:21:33.040Z,38.8423347,-122.8785019,2.02,0.81,nc72899086,"12km ENE of Cloverdale, California",earthquake
9/26/17,06:14:00.700Z,34.9268333,-118.497,10.35,1.3,ci38010824,"20km NNE of Neenach, CA",earthquake
9/26/17,05:46:28.280Z,-5.7378,101.3356,10,4.9,us2000auv4,"237km SSW of Bengkulu, Indonesia",earthquake
9/26/17,05:44:33.850Z,-21.3378,-66.5505,232.1,5,us2000auv3,"55km SW of Atocha, Bolivia",earthquake
9/26/17,05:33:24.140Z,15.0621,-93.9602,55.84,4.6,us2000auuz,"100km SSW of Tres Picos, Mexico",earthquake
9/26/17,05:31:35.480Z,38.8074989,-122.8223343,1.93,0.88,nc72899081,"6km WNW of The Geysers, California",earthquake
9/26/17,05:28:35.690Z,37.4503326,-118.8290024,2.83,1.41,nc72899076,"25km SSE of Mammoth Lakes, California",earthquake
9/26/17,05:19:00.910Z,38.8406677,-122.8413315,1.64,0.91,nc72899071,"10km WNW of Cobb, California",earthquake
9/26/17,05:13:14.840Z,38.8248329,-122.7983322,2.56,0.96,nc72899066,"6km W of Cobb, California",earthquake
9/26/17,05:09:56.392Z,38.4021,-118.8843,4.3,0.5,nn00607076,"26km WSW of Hawthorne, Nevada",earthquake
9/26/17,04:52:35.090Z,34.2071667,-117.061,1.9,1.46,ci38010800,"4km E of Running Springs, CA",earthquake
9/26/17,04:49:52.980Z,34.2085,-117.0611667,1.2,1.19,ci38010792,"4km E of Running Springs, CA",earthquake
9/26/17,04:34:00.104Z,37.0804,-117.0413,8.5,1.5,nn00607042,"31km NW of Beatty, Nevada",earthquake
9/26/17,04:32:25.749Z,60.9055,-143.4106,24.6,2.7,ak16906991,"87km SE of Chitina, Alaska",earthquake
9/26/17,04:20:00.760Z,-23.7135,-176.9366,98.07,6.4,us2000autd,South of the Fiji Islands,earthquake
9/26/17,03:57:06.695Z,62.8109,-148.9205,5.3,2.4,ak16906355,"64km S of Cantwell, Alaska",earthquake
9/26/17,03:54:42.430Z,33.5166667,-116.8493333,16.46,0.71,ci38010768,"8km N of Aguanga, CA",earthquake
9/26/17,03:43:35.890Z,33.148,-116.5001667,2.29,0.77,ci38010760,"12km NE of Julian, CA",earthquake
9/26/17,03:34:20.500Z,37.4516678,-118.8241653,1.1,1.87,nc72899031,"25km SSE of Mammoth Lakes, California",earthquake
9/26/17,03:25:40.580Z,62.37,-151.2579,73.1,1.3,ak16906353,"59km W of Talkeetna, Alaska",earthquake
9/26/17,03:18:19.750Z,47.5763333,-122.7371667,17.19,1.38,uw61310902,"3km SW of Erlands Point-Kitsap Lake, Washington",earthquake
9/26/17,03:06:48.484Z,37.3651,-117.1289,8.9,0.3,nn00607072,"39km SSE of Goldfield, Nevada",earthquake
9/26/17,03:03:42.537Z,59.8307,-136.5785,0.1,2.4,ak16906350,"82km WNW of Skagway, Alaska",earthquake
9/26/17,02:38:28.670Z,37.4528351,-118.8248367,2.49,1.63,nc72899026,"25km SSE of Mammoth Lakes, California",earthquake
9/26/17,02:36:25.250Z,59.7952,-136.5684,0,1.9,ak16906345,"80km WNW of Skagway, Alaska",earthquake
9/26/17,02:36:01.783Z,62.611,-149.376,0.7,1.4,ak16906344,"49km NE of Talkeetna, Alaska",earthquake
9/26/17,02:27:49.650Z,46.8528333,-121.7496667,1.43,0.42,uw61310897,"28km NNW of Packwood, Washington",earthquake
9/26/17,02:23:09.257Z,61.7236,-148.2023,10.4,1.2,ak16906343,"35km ESE of Sutton-Alpine, Alaska",earthquake
9/26/17,02:21:06.960Z,46.7558333,-121.9235,4.01,1.1,uw61310887,"25km NW of Packwood, Washington",earthquake
9/26/17,02:02:39.410Z,37.5206667,-118.8835,1.58,0.55,nc72899021,"16km SSE of Mammoth Lakes, California",earthquake
9/26/17,02:00:42.320Z,37.5543333,-118.8886667,3.33,0.47,nc72899016,"12km SE of Mammoth Lakes, California",earthquake
9/26/17,01:59:21.190Z,37.5296667,-118.882,0.33,0.81,nc72899011,"15km SSE of Mammoth Lakes, California",earthquake
9/26/17,01:55:33.033Z,61.5058,-140.6758,0,2.1,ak16905725,"186km NNE of Cape Yakataga, Alaska",earthquake
9/26/17,01:42:42.180Z,-18.0618,-178.2892,578.88,5.1,us2000aus0,"289km N of Ndoi Island, Fiji",earthquake
9/26/17,01:15:05.400Z,38.8363342,-122.7803345,1.32,0.43,nc72899006,"5km WNW of Cobb, California",earthquake
9/26/17,01:12:36.978Z,61.2675,-146.7691,22.4,0.9,ak16905719,"27km NW of Valdez, Alaska",earthquake
